Protein,species,asymptote,mid,m,Tm,r2
E9PAU2_RAVER1,Homo sapiens K562 lysate,0.2668530207333795,44.53161739309864,905.5328606934671,46.288133089634,0.9646152750807843
E9PAU2,Homo sapiens K562 lysate,0.2598263663840496,46.51826602692817,731.6800128423896,48.8043231772649,0.9957921966409115
E9PC47_LIMK1,Homo sapiens K562 lysate,0.2915621981721145,43.27005693911895,506.22069957394075,46.77964675078072,0.9125097996969367
E9PC47,Homo sapiens K562 lysate,0.15825704500358234,48.27521870804104,1049.9239693728534,49.14341002533517,0.997771943111265
E9PCW1_GOSR1,Homo sapiens K562 lysate,0.4749063099325562,47.772873214188614,1079.7010716361688,55.073274058390815,0.9245958152610575
E9PCW1,Homo sapiens K562 lysate,0.40192611245243576,51.61748367118636,1592.6905014051085,54.54364785067744,0.9849604070602179
E9PL17_CLP1,Homo sapiens K562 lysate,0.16907427017455826,51.40477064802553,1410.10589682855,52.20308452723468,0.9810216109009761
E9PL17,Homo sapiens K562 lysate,0.009884559407264243,48.96195532746443,435.6955427614649,49.073641088038016,0.9862478529989469
E9PN70_TRAPPC4,Homo sapiens K562 lysate,0.2053697541200131,50.36973099375739,857.6744637473399,51.985196274450615,0.9886617433321969
E9PN70,Homo sapiens K562 lysate,0.13005334664948992,50.19885157802998,991.5758455713349,50.977125101129104,0.994532775354383
E9PPN3_SCYL1,Homo sapiens K562 lysate,0.41738474796447267,47.728139650040525,997.1866568418291,52.25632804452532,0.94870648268943
E9PPN3,Homo sapiens K562 lysate,0.08144634138270637,49.78941733815776,1209.1531612711528,50.163777147855924,0.9985972051641847
F2Z2W7_TRMT2A,Homo sapiens K562 lysate,0.20224804683296485,48.55700499474699,592.5549067972772,50.72066276634279,0.9900247803114323
F2Z2W7,Homo sapiens K562 lysate,0.16885828434428138,43.73674302442746,613.2404687406439,45.06442208024968,0.9899589714804244
F2Z2X4_XPO4,Homo sapiens K562 lysate,0.20551822850054635,48.133442596369605,821.3601934498377,49.68764055142767,0.9923831105828976
F2Z2X4,Homo sapiens K562 lysate,0.12962757220486423,53.14165361506874,2318.889626689019,53.52881190239639,0.9988219716281487
F5GX28_KDM4B,Homo sapiens K562 lysate,0.0733164932834794,43.00283211873516,544.4349742921457,43.55656329463088,0.9753046401880078
F5GX28,Homo sapiens K562 lysate,0.12920438403990855,45.774232513062586,662.6174655595947,46.747232200058114,0.9980995047362975
F5H0R1_TUT1,Homo sapiens K562 lysate,0.15178551693323009,45.1883881002228,983.6794376046777,45.95424113126551,0.9949342705884349
F5H0R1,Homo sapiens K562 lysate,0.10140933393709249,45.27079843154225,750.025296740596,45.901801189764086,0.9954423023931401
F5H1U9_MPDZ,Homo sapiens K562 lysate,0.39641720148935766,45.961094193189275,761.4324947069567,50.80584917065181,0.9448719760852274
